epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1467.19,1.33075,1.10635,1.24356,0.58196,0.63168,0.5792,0.30081,1.57575,186.952,1.58483,0.000660606,0.000660606,0.000660606
2,2958.87,1.45738,1.12772,1.34525,0.03426,0.59125,0.02798,0.01304,1.8479,9104.03,1.79813,0.00131413,0.00131413,0.00131413
3,4458.06,1.46793,1.16226,1.35904,0.71075,0.64101,0.69228,0.37923,1.45359,119.753,1.37864,0.00195446,0.00195446,0.00195446
4,5945.43,1.40585,1.0676,1.32633,0.76998,0.74813,0.80496,0.48391,1.36808,124.048,1.30408,0.0019406,0.0019406,0.0019406
5,7407.2,1.35359,0.99052,1.29264,0.80138,0.77411,0.84223,0.51257,1.21599,11.5727,1.18601,0.0019208,0.0019208,0.0019208
6,8865.62,1.32708,0.95709,1.27178,0.81848,0.77067,0.84289,0.53593,1.22107,1.87525,1.19491,0.001901,0.001901,0.001901
7,10324.5,1.2876,0.92123,1.23868,0.84251,0.7956,0.87547,0.55081,1.22576,10.4463,1.14847,0.0018812,0.0018812,0.0018812
8,11781.7,1.26558,0.91255,1.23642,0.83674,0.78061,0.86478,0.55863,1.12946,12.5801,1.1112,0.0018614,0.0018614,0.0018614
9,13240.3,1.25036,0.87385,1.22521,0.81437,0.84008,0.8859,0.55954,1.13908,30.2019,1.11627,0.0018416,0.0018416,0.0018416
10,14698.1,1.22509,0.85603,1.20543,0.82434,0.82309,0.88678,0.56731,1.23256,2.19192,1.16803,0.0018218,0.0018218,0.0018218
11,16158,1.21132,0.82318,1.1988,0.85806,0.81567,0.89807,0.59125,1.12672,8.01907,1.12016,0.001802,0.001802,0.001802
12,17641.5,1.18817,0.8127,1.18587,0.85864,0.84358,0.9074,0.60277,1.10513,1.49366,1.09241,0.0017822,0.0017822,0.0017822
13,19125,1.19437,0.7965,1.18393,0.85392,0.86179,0.91514,0.60889,1.08539,2.98294,1.08465,0.0017624,0.0017624,0.0017624
14,20604.9,1.16977,0.78243,1.16846,0.86682,0.83267,0.90981,0.60838,1.05644,1.03734,1.05246,0.0017426,0.0017426,0.0017426
15,22090.5,1.16205,0.77606,1.1684,0.84324,0.86827,0.91599,0.61108,1.07547,0.80057,1.07833,0.0017228,0.0017228,0.0017228
16,23572.8,1.15923,0.7621,1.16984,0.8404,0.86316,0.91197,0.62292,1.06014,0.83337,1.07326,0.001703,0.001703,0.001703
17,25059.8,1.1373,0.75234,1.15615,0.86379,0.84619,0.91431,0.62717,1.0439,1.31643,1.0586,0.0016832,0.0016832,0.0016832
18,26545.5,1.12907,0.74709,1.15236,0.87775,0.83908,0.9166,0.61555,1.08919,1.1925,1.08044,0.0016634,0.0016634,0.0016634
19,27998,1.12532,0.73771,1.14931,0.85623,0.86911,0.923,0.6392,1.03199,1.28158,1.04707,0.0016436,0.0016436,0.0016436
20,29449.3,1.10047,0.71964,1.13555,0.84869,0.86957,0.91523,0.63498,1.01991,2.85583,1.04737,0.0016238,0.0016238,0.0016238
21,30935.9,1.11064,0.71071,1.13265,0.85284,0.88106,0.92636,0.64183,1.0139,0.83785,1.02678,0.001604,0.001604,0.001604
22,32389,1.08398,0.69104,1.12909,0.85712,0.8784,0.92642,0.64406,1.02354,2.60396,1.04052,0.0015842,0.0015842,0.0015842
23,33832,1.06227,0.6883,1.11012,0.88057,0.84558,0.91672,0.6277,1.02926,1.64147,1.03542,0.0015644,0.0015644,0.0015644
